0              0
0.01   3.170698e-08
0.02  6.5270478e-08
0.03  1.0266946e-07
0.04  1.4605396e-07
0.05  1.9786312e-07
0.06  2.6093812e-07
0.07  3.3864987e-07
0.08  4.3504576e-07
0.09  5.5502033e-07
0.1  7.0451493e-07
0.11  8.9075263e-07
0.12  1.1225147e-06
0.13   1.410466e-06
0.14  1.7675387e-06
0.15  2.2093813e-06
0.16  2.7548867e-06
0.17  3.4268073e-06
0.18  4.2524729e-06
0.19  5.2646238e-06
0.2  6.5023748e-06
0.21  8.0123275e-06
0.22  9.8498477e-06
0.23  1.2080529e-05
0.24  1.4781861e-05
0.25  1.8045127e-05
0.26  2.1977548e-05
0.27  2.6704704e-05
0.28   3.237325e-05
0.29  3.9153951e-05
0.3  4.7245063e-05
0.31  5.6876078e-05
0.32  6.8311853e-05
0.33  8.1857146e-05
0.34   9.786157e-05
0.35  0.00011672497
0.36  0.00013890326
0.37  0.00016491464
0.38  0.00019534632
0.39  0.00023086159
0.4  0.00027220731
0.41  0.00032022176
0.42  0.00037584275
0.43  0.00044011604
0.44  0.00051420391
0.45  0.00059939379
0.46  0.00069710689
0.47  0.00080890674
0.48  0.00093650737
0.49   0.0010817812
0.5   0.0012467661
0.51   0.0014336722
0.52   0.0016448872
0.53   0.0018829805
0.54   0.0021507067
0.55   0.0024510069
0.56   0.0027870082
0.57   0.0031620213
0.58   0.0035795361
0.59   0.0040432149
0.6   0.0045568821
0.61   0.0051245125
0.62   0.0057502157
0.63   0.0064382175
0.64   0.0071928391
0.65   0.0080184721
0.66   0.0089195506
0.67   0.0099005209
0.68    0.010965808
0.69    0.012119777
0.7    0.013366699
0.71    0.014710703
0.72    0.016155739
0.73    0.017705531
0.74    0.019363528
0.75    0.021132864
0.76    0.023016309
0.77    0.025016221
0.78    0.027134505
0.79    0.029372573
0.8    0.031731297
0.81     0.03421098
0.82     0.03681132
0.83    0.039531382
0.84    0.042369575
0.85    0.045323639
0.86    0.048390627
0.87    0.051566907
0.88    0.054848157
0.89    0.058229384
0.9    0.061704932
0.91     0.06526851
0.92     0.06891322
0.93    0.072631599
0.94    0.076415659
0.95    0.080256942
0.96    0.084146571
0.97    0.088075315
0.98    0.092033653
0.99    0.096011844
1            0.1
